Q_ID,Video_ID,Rank,Answer,Time (sec)
Hn39NgRMxtY,Hn39NgRMxtY,5,"The men are likely engaging in calisthenics or a form of exercise that involves bodyweight movements, such as ring dips or push-ups, which are performed while swinging from a pull-up bar or similar equipment.",1.0637
Hn39NgRMxtY,Hn39NgRMxtY,6,"They are practicing acrobatic exercises, possibly as part of a gymnastics or circus training session.",1.0637
Hn39NgRMxtY,Hn39NgRMxtY,7,"The men are swinging through the air in a gym likely as part of a workout routine, possibly using a swing for upper body exercises, core strength, or as a fun, engaging way to enhance their fitness regimen.",1.0637
Hn39NgRMxtY,Hn39NgRMxtY,8,"The men are swinging through the air in a gym to perform exercises that mimic swinging motions, likely as part of a workout routine that focuses on upper body strength and agility.",1.0637
Hn39NgRMxtY,Hn39NgRMxtY,9,"They are performing acrobatic exercises, likely part of a gymnastics or fitness routine.",1.0637
Hn39NgRMxtY,Hn39NgRMxtY,10,"They are likely participating in a physical activity or exercise routine that involves swinging, such as a gym class or workout activity.",1.0637
Ho6rVzAF_9s,Ho6rVzAF_9s,1,The off and on engine switch is typically located on the right side of the handles.,0.8439
Ho6rVzAF_9s,Ho6rVzAF_9s,2,The off and on engine switch is typically on the left side of the handles.,0.8439
Ho6rVzAF_9s,Ho6rVzAF_9s,3,The off and on engine switch is typically located on the left side of the handle.,0.8439
Ho6rVzAF_9s,Ho6rVzAF_9s,4,The off and on engine switch is typically located on the right side of the handlebar.,0.8439
Ho6rVzAF_9s,Ho6rVzAF_9s,5,"The off and on engine switch is typically located on the right side of the handlebars, towards the front of the vehicle.",0.8439
Ho6rVzAF_9s,Ho6rVzAF_9s,6,The off and on engine switch is typically located on the left side of the handles.,0.8439
Ho6rVzAF_9s,Ho6rVzAF_9s,7,The off and on engine switch is typically located on the right side of the handles.,0.8439
Ho6rVzAF_9s,Ho6rVzAF_9s,8,The off and on engine switch is typically on the right side of the handles in most aircraft.,0.8439
Ho6rVzAF_9s,Ho6rVzAF_9s,9,The off and on engine switch is typically located on the left side of the handlebars.,0.8439
Ho6rVzAF_9s,Ho6rVzAF_9s,10,The off and on engine switch is typically on the left side of the handles.,0.8439
HpAFuQ51Fmg,HpAFuQ51Fmg,1,The girl is hiding in a blanket.,0.354
HpAFuQ51Fmg,HpAFuQ51Fmg,2,"The girl is hiding behind a large, colorful object that resembles a blanket or a piece of fabric.",0.354
HpAFuQ51Fmg,HpAFuQ51Fmg,3,The girl is hiding in a room.,0.354
HpAFuQ51Fmg,HpAFuQ51Fmg,4,The girl is hiding behind a tree.,0.354
HpAFuQ51Fmg,HpAFuQ51Fmg,5,The girl is hiding behind a tree.,0.354
HpAFuQ51Fmg,HpAFuQ51Fmg,6,The girl is hiding behind a bush.,0.354
HpAFuQ51Fmg,HpAFuQ51Fmg,7,The girl is hiding behind a curtain.,0.354
HpAFuQ51Fmg,HpAFuQ51Fmg,8,The girl is hiding behind a rock.,0.354
HpAFuQ51Fmg,HpAFuQ51Fmg,9,The girl is hiding behind a large stack of books.,0.354
HpAFuQ51Fmg,HpAFuQ51Fmg,10,The girl is hiding behind a green curtain.,0.354
Ht0eoZvmPo4,Ht0eoZvmPo4,1,"The video ends with the text ""The End"" appearing on the screen.",0.7152
Ht0eoZvmPo4,Ht0eoZvmPo4,2,"The video ends with a close-up of the person's hand holding a phone, displaying a message.",0.7152
Ht0eoZvmPo4,Ht0eoZvmPo4,3,The video ends with a black screen.,0.7152
Ht0eoZvmPo4,Ht0eoZvmPo4,4,"The video ends with a close-up shot of the hands holding the flower, emphasizing the intricate details of the petals.",0.7152
Ht0eoZvmPo4,Ht0eoZvmPo4,5,The video ends with the screen going black.,0.7152
Ht0eoZvmPo4,Ht0eoZvmPo4,6,"The video ends with a static frame showing the text ""The End"".",0.7152
Ht0eoZvmPo4,Ht0eoZvmPo4,7,The video ends with a shot of the ocean waves.,0.7152
Ht0eoZvmPo4,Ht0eoZvmPo4,8,"The video ends with a static image of the text ""END"" displayed.",0.7152
Ht0eoZvmPo4,Ht0eoZvmPo4,9,"The video ends with a person running, as indicated by the action depicted in the last frame.",0.7152
Ht0eoZvmPo4,Ht0eoZvmPo4,10,The video ends with a fade to black.,0.7152
HT9Eo6Si5Mo,HT9Eo6Si5Mo,1,"The tall figure may set up a tent, gather firewood, and begin preparing for a night under the stars.",0.7491
HT9Eo6Si5Mo,HT9Eo6Si5Mo,2,"The tall figure might set up a tent, start a fire, or explore the surroundings, integrating with the campsite environment.",0.7491
HT9Eo6Si5Mo,HT9Eo6Si5Mo,3,"The tall figure likely sets up a tent and begins to unpack camping gear, preparing for a night in the wilderness.",0.7491
HT9Eo6Si5Mo,HT9Eo6Si5Mo,4,"A tall figure entering a campsite might cause a mix of excitement and curiosity among campers, potentially leading to a lively interaction or a quiet moment of observation, depending on the figure's intentions and the campers' expectations.",0.7491
HT9Eo6Si5Mo,HT9Eo6Si5Mo,5,The tall figure may be met with either a warm welcome or a cautious observation depending on the campers' trust and familiarity with the person.,0.7491
HT9Eo6Si5Mo,HT9Eo6Si5Mo,6,"A tall figure entering a campsite might start a conversation with the campers, creating a sense of camaraderie or curiosity among the group.",0.7491
HT9Eo6Si5Mo,HT9Eo6Si5Mo,7,"The campsite is illuminated by the tall figure's flashlight, revealing the campsite's features and the presence of other campers.",0.7491
HT9Eo6Si5Mo,HT9Eo6Si5Mo,8,"A tall figure entering a campsite often leads to increased activity and excitement among campers, potentially altering the peaceful ambiance of the campsite.",0.7491
HT9Eo6Si5Mo,HT9Eo6Si5Mo,9,"A tall figure entering a campsite can startle campers, potentially leading to a variety of responses from surprise to excitement, depending on the context and familiarity of the campers with the figure.",0.7491
HT9Eo6Si5Mo,HT9Eo6Si5Mo,10,"The campsite gains a new, imposing presence that might attract attention and alter the atmosphere.",0.7491
HtZ2KVuDfIo,HtZ2KVuDfIo,1,"After taking a bite of the cookie, the woman enjoys the sweet taste and satisfaction, savoring the moment.",0.6275
HtZ2KVuDfIo,HtZ2KVuDfIo,2,The woman savors the taste of the cookie and enjoys the moment.,0.6275
HtZ2KVuDfIo,HtZ2KVuDfIo,3,The woman appears to be enjoying the cookie as she takes a bite.,0.6275
HtZ2KVuDfIo,HtZ2KVuDfIo,4,"The woman savors the taste of the cookie, savoring its flavor and texture.",0.6275
HtZ2KVuDfIo,HtZ2KVuDfIo,5,The woman enjoys the taste of the cookie after taking a bite.,0.6275
HtZ2KVuDfIo,HtZ2KVuDfIo,6,"The woman continues to enjoy her cookie, savoring the flavor and texture.",0.6275
HtZ2KVuDfIo,HtZ2KVuDfIo,7,"After the woman takes a bite of the cookie, the scene likely transitions to show the cookie being eaten, with the woman possibly savoring the taste.",0.6275
HtZ2KVuDfIo,HtZ2KVuDfIo,8,"After the woman takes a bite of the cookie, she continues to eat it while looking at the camera.",0.6275
HtZ2KVuDfIo,HtZ2KVuDfIo,9,"The woman enjoys the taste and texture of the cookie, savoring the moment before moving on to the next activity.",0.6275
HtZ2KVuDfIo,HtZ2KVuDfIo,10,"After taking a bite of the cookie, the woman will likely experience the taste and texture of the cookie, which could lead to satisfaction or enjoyment depending on the flavor and quality of the cookie.",0.6275
HUs-7p9QAMk,HUs-7p9QAMk,1,"The man is wearing a harness likely for safety and security purposes, such as in a high-risk activity like skydiving, rappelling, or rock climbing, where it ensures he is securely attached to a safety line.",0.8493
HUs-7p9QAMk,HUs-7p9QAMk,2,"The man is wearing a harness likely for safety or to assist in a specific activity, such as rock climbing, skydiving, or another extreme sport or task that requires secure attachment to equipment.",0.8493
HUs-7p9QAMk,HUs-7p9QAMk,3,"The man is likely wearing a harness for safety, possibly for an activity like rock climbing, skydiving, or aerial work, where the harness is used to secure him to a rope or other safety equipment.",0.8493
HUs-7p9QAMk,HUs-7p9QAMk,4,"The man is wearing a harness likely for safety or for a specific activity that requires it, such as rock climbing, skydiving, or horseback riding.",0.8493
HUs-7p9QAMk,HUs-7p9QAMk,5,"The man is likely wearing a harness for safety or to assist with a specific activity, such as climbing or working at height.",0.8493
HUs-7p9QAMk,HUs-7p9QAMk,6,"The man is likely wearing a harness for safety or as part of his work or activity, such as climbing, hiking, or engaging in an outdoor sport that requires securing equipment or tools.",0.8493
HUs-7p9QAMk,HUs-7p9QAMk,7,"The man is likely wearing a harness for safety or to assist with a specific task, such as climbing or working at height, to ensure he remains secure and protected.",0.8493
HUs-7p9QAMk,HUs-7p9QAMk,8,"The man is likely wearing a harness for safety or support, such as for rock climbing, caving, or other activities that require securing oneself to a rope or structure.",0.8493
HUs-7p9QAMk,HUs-7p9QAMk,9,"The man is wearing a harness, likely for safety or to provide support during an activity that requires it, such as rock climbing or a similar adventure sport.",0.8493
HUs-7p9QAMk,HUs-7p9QAMk,10,"The man is wearing a harness, likely for safety or support, such as in an industrial setting, a high-altitude activity, or a sport like skydiving or bungee jumping.",0.8493
HVh_en2b0-U,HVh_en2b0-U,1,There are no French doors visible behind the man in the image.,0.2944
HVh_en2b0-U,HVh_en2b0-U,2,There are two French doors visible behind the man in the image.,0.2944
HVh_en2b0-U,HVh_en2b0-U,3,There are two French doors visible behind the man in the image.,0.2944
HVh_en2b0-U,HVh_en2b0-U,4,There are no French doors visible behind the man in the image.,0.2944
HVh_en2b0-U,HVh_en2b0-U,5,There are two French doors behind the man in the image.,0.2944
HVh_en2b0-U,HVh_en2b0-U,6,There are no French doors visible behind the man in the image.,0.2944
HVh_en2b0-U,HVh_en2b0-U,7,There are two French doors visible behind the man in the image.,0.2944
HVh_en2b0-U,HVh_en2b0-U,8,There are two French doors behind the man in the image.,0.2944
HVh_en2b0-U,HVh_en2b0-U,9,There are two French doors visible behind the man in the image.,0.2944
HVh_en2b0-U,HVh_en2b0-U,10,There are two French doors visible behind the man in the image.,0.2944
HvYkXvDkuPc,HvYkXvDkuPc,1,The video ends with a close-up of a person's hand.,0.4133
HvYkXvDkuPc,HvYkXvDkuPc,2,The video ends with a shot of a serene landscape featuring a calm lake surrounded by lush greenery and a clear blue sky.,0.4133
HvYkXvDkuPc,HvYkXvDkuPc,3,The video ends with a static image of a white screen.,0.4133
HvYkXvDkuPc,HvYkXvDkuPc,4,"The video ends with a static image of the text ""The End.""",0.4133
HvYkXvDkuPc,HvYkXvDkuPc,5,The video ends with a serene view of a sunset over the ocean.,0.4133
HvYkXvDkuPc,HvYkXvDkuPc,6,"The video ends with a static shot of the sky, possibly indicating a pause or conclusion.",0.4133
HvYkXvDkuPc,HvYkXvDkuPc,7,"The video ends with the text ""The End"" appearing on the screen.",0.4133
HvYkXvDkuPc,HvYkXvDkuPc,8,The video ends with a fade to black.,0.4133
HvYkXvDkuPc,HvYkXvDkuPc,9,"The video ends with a static screen displaying the text ""The End.""",0.4133
HvYkXvDkuPc,HvYkXvDkuPc,10,The video ends with a white screen.,0.4133
Hw0bRvn1ZIo,Hw0bRvn1ZIo,1,"The text displayed after ""Jiu Jitsu"" is ""Self Defense.""",0.7039
Hw0bRvn1ZIo,Hw0bRvn1ZIo,2,"The text displayed after ""Jiu Jitsu"" is ""Self-Defense.""",0.7039
Hw0bRvn1ZIo,Hw0bRvn1ZIo,3,"The text displayed after ""Jiu Jitsu"" is ""Instructions"".",0.7039
Hw0bRvn1ZIo,Hw0bRvn1ZIo,4,"The text displayed after ""Jiu Jitsu"" is ""Instructive Video"".",0.7039
Hw0bRvn1ZIo,Hw0bRvn1ZIo,5,"The text displayed after ""Jiu Jitsu"" is ""Brazilians.""",0.7039
Hw0bRvn1ZIo,Hw0bRvn1ZIo,6,"The text displayed after ""Jiu Jitsu"" is ""instructional video"".",0.7039
Hw0bRvn1ZIo,Hw0bRvn1ZIo,7,"The text displayed after ""Jiu Jitsu"" is ""instructive video"".",0.7039
Hw0bRvn1ZIo,Hw0bRvn1ZIo,8,"The text displayed after ""Jiu Jitsu"" is ""Brazilian Jiu Jitsu Instructional Video"".",0.7039
Hw0bRvn1ZIo,Hw0bRvn1ZIo,9,"The text displayed after ""Jiu Jitsu"" is ""Brazilian Jiu Jitsu Instructional Video.""",0.7039
Hw0bRvn1ZIo,Hw0bRvn1ZIo,10,"The text displayed after ""Jiu Jitsu"" is ""self-defense"".",0.7039
HwD5afpQNZM,HwD5afpQNZM,1,"The video shows a person performing an action that involves a yellow object, possibly a banana, in a kitchen setting.",0.7452
HwD5afpQNZM,HwD5afpQNZM,2,"The video shows a single frame with a white background and a small, partially visible object in the bottom right corner.",0.7452
HwD5afpQNZM,HwD5afpQNZM,3,"The video shows a person sitting in front of a computer screen, likely engaging in an activity such as working, gaming, or watching content.",0.7452
HwD5afpQNZM,HwD5afpQNZM,4,"The video shows a close-up of a hand holding a small, green object, possibly a piece of fruit or vegetable, against a blurred background.",0.7452
HwD5afpQNZM,HwD5afpQNZM,5,"The video shows a person standing in front of a green background, possibly preparing to give a presentation or perform.",0.7452
HwD5afpQNZM,HwD5afpQNZM,6,"The video shows a blank white screen, indicating either a pause, a technical issue, or a placeholder for content.",0.7452
HwD5afpQNZM,HwD5afpQNZM,7,"The video shows a series of frames that appear to be from a computer or digital interface, possibly depicting a sequence of numbers, symbols, or codes.",0.7452
HwD5afpQNZM,HwD5afpQNZM,8,The video shows a simple graphic with a white background and a black text box in the center.,0.7452
HwD5afpQNZM,HwD5afpQNZM,9,The video shows a close-up of a person's hand with a tattoo on the back of the hand.,0.7452
HwD5afpQNZM,HwD5afpQNZM,10,The video shows a close-up view of a computer screen with a black background.,0.7452
HxYov3ZvQN8,HxYov3ZvQN8,1,"The player who shows good sportsmanship during the soccer game is the one who demonstrates fair play and??????, even when the game is competitive.",0.5955
HxYov3ZvQN8,HxYov3ZvQN8,2,The player who demonstrates good sportsmanship during this soccer game is the one who offers a handshake to the opposing player after the game.,0.5955
HxYov3ZvQN8,HxYov3ZvQN8,3,The player who displays good sportsmanship during this soccer game is the one who shows respect to their opponents and follows the rules of the game.,0.5955
HxYov3ZvQN8,HxYov3ZvQN8,4,"The player who is good sportsmanship during this soccer game is the one who demonstrates fair play,??????, and adheres to the rules of the game.",0.5955
HxYov3ZvQN8,HxYov3ZvQN8,5,"The player who displays good sportsmanship is the one who shows respect and fair play, such as avoiding unnecessary roughness and acknowledging the efforts of the opposing team.",0.5955
HxYov3ZvQN8,HxYov3ZvQN8,6,The player who demonstrates good sportsmanship during this soccer game is the one who courteously acknowledges the opponent's good play after scoring a goal.,0.5955
HxYov3ZvQN8,HxYov3ZvQN8,7,"The player who demonstrates good sportsmanship during this soccer game is the one who shows respect and fair play, even after making a mistake or losing a point.",0.5955
HxYov3ZvQN8,HxYov3ZvQN8,8,The player who shows good sportsmanship is the one who concedes a fair play penalty and demonstrates sportsmanship by accepting the referee's decision with grace and composure.,0.5955
HxYov3ZvQN8,HxYov3ZvQN8,9,The player who displays good sportsmanship during this soccer game is the one who courteously congratulates the opposing team after scoring a goal.,0.5955
HxYov3ZvQN8,HxYov3ZvQN8,10,"The player who displays good sportsmanship during this soccer game is the one who offers a handshake to the opposing player after the game, demonstrating respect and fair play.",0.5955
HyOKrz1C4zU,HyOKrz1C4zU,1,The fruits being harvested are yellow and red.,0.7458
HyOKrz1C4zU,HyOKrz1C4zU,2,The fruits being harvested are red and green.,0.7458
HyOKrz1C4zU,HyOKrz1C4zU,3,The fruits being harvested in the picture are red.,0.7458
HyOKrz1C4zU,HyOKrz1C4zU,4,The fruits being harvested in the picture are yellow.,0.7458
HyOKrz1C4zU,HyOKrz1C4zU,5,The fruits being harvested are red.,0.7458
HyOKrz1C4zU,HyOKrz1C4zU,6,The fruits being harvested are red.,0.7458
HyOKrz1C4zU,HyOKrz1C4zU,7,The fruits being harvested are red and green.,0.7458
HyOKrz1C4zU,HyOKrz1C4zU,8,The fruits being harvested are red and green.,0.7458
HyOKrz1C4zU,HyOKrz1C4zU,9,The fruits being harvested are a mix of red and green.,0.7458
HyOKrz1C4zU,HyOKrz1C4zU,10,The fruits being harvested are a mix of green and yellow.,0.7458
HZHBrAMppd8,HZHBrAMppd8,1,"The video ends with a blank screen, indicating the conclusion of the content.",0.5753
HZHBrAMppd8,HZHBrAMppd8,2,"The video ends with the character standing in the middle of the screen, facing the viewer.",0.5753
HZHBrAMppd8,HZHBrAMppd8,3,The video ends with a smiley face appearing on the screen.,0.5753
HZHBrAMppd8,HZHBrAMppd8,4,"The video ends with a still image of a person sitting by the water, gazing into the distance.",0.5753
HZHBrAMppd8,HZHBrAMppd8,5,"By the end of the video, the cat is seen walking away from the camera.",0.5753
HZHBrAMppd8,HZHBrAMppd8,6,The video ends with a scene that is not described in the provided text.,0.5753
HZHBrAMppd8,HZHBrAMppd8,7,"The video ends with a shot of the sea, highlighting the vastness and tranquility of the ocean.",0.5753
HZHBrAMppd8,HZHBrAMppd8,8,The video concludes with a fade to black.,0.5753
HZHBrAMppd8,HZHBrAMppd8,9,"By the end of the video, the character has completed their task and is ready to proceed to the next step.",0.5753
HZHBrAMppd8,HZHBrAMppd8,10,"By the end of the video, the person is shown in a relaxed pose with a confident smile.",0.5753
HZva-aCzZts,HZva-aCzZts,1,The carpenter likely tightens the screws with the electric screwdriver to secure the anchor bracket in place.,0.9951
HZva-aCzZts,HZva-aCzZts,2,"After using an electric screwdriver to place three long screws in an anchor bracket, the carpenter would likely proceed to secure the bracket in place, ensuring it is firmly attached to the surface.",0.9951
HZva-aCzZts,HZva-aCzZts,3,"After using an electric screwdriver to place three long screws in an anchor bracket, the carpenter likely inspects the bracket to ensure the screws are properly aligned and securely fastened.",0.9951
HZva-aCzZts,HZva-aCzZts,4,"After using an electric screwdriver to place three long screws in an anchor bracket, the carpenter likely proceeds to align and secure additional components or proceed with the installation of other parts of the structure.",0.9951
HZva-aCzZts,HZva-aCzZts,5,"After using an electric screwdriver to place three long screws in an anchor bracket, the carpenter would likely proceed to check the stability of the anchor bracket by pulling on it or by ensuring that the screws are properly seated and the bracket is securely fastened.",0.9951
HZva-aCzZts,HZva-aCzZts,6,"After using an electric screwdriver to place three long screws in an anchor bracket, the carpenter likely inspects the bracket to ensure the screws are securely fastened and then proceeds to the next task in the construction project.",0.9951
HZva-aCzZts,HZva-aCzZts,7,"The carpenter would likely proceed to secure the anchor bracket to a surface by driving the screws into it, ensuring the bracket is firmly attached and stable.",0.9951
HZva-aCzZts,HZva-aCzZts,8,"After using an electric screwdriver to place three long screws in an anchor bracket, the carpenter likely checks the alignment and tightness of the screws to ensure the bracket is securely fastened.",0.9951
HZva-aCzZts,HZva-aCzZts,9,The carpenter likely proceeds to use the electric screwdriver to tighten the screws securely into the anchor bracket.,0.9951
HZva-aCzZts,HZva-aCzZts,10,"After using an electric screwdriver to place three long screws in an anchor bracket, the carpenter would likely proceed to tighten the screws securely to ensure the bracket is firmly attached to the structure.",0.9951
HZVvjdZt5PM,HZVvjdZt5PM,1,"The woman was demonstrating the impracticality and potential dangers of using a hair straightening wand around her nose, likely to emphasize the importance of using such tools safely.",0.6849
HZVvjdZt5PM,HZVvjdZt5PM,2,"The woman was likely demonstrating a humorous or unconventional use of a hair straightening wand, possibly for comedic effect or as part of a quirky personal grooming routine.",0.6849
HZVvjdZt5PM,HZVvjdZt5PM,3,"The woman was likely demonstrating a humorous or unconventional use of the hair straightening wand, perhaps to highlight its unexpected versatility or to simply entertain.",0.6849
HZVvjdZt5PM,HZVvjdZt5PM,4,"The woman was likely demonstrating a creative or humorous approach to using a hair straightening wand, possibly for a lighthearted or comedic effect.",0.6849
HZVvjdZt5PM,HZVvjdZt5PM,5,"The woman was demonstrating a humorous or unconventional method of using a hair straightening wand, which is not typically intended for such an application.",0.6849
HZVvjdZt5PM,HZVvjdZt5PM,6,"The woman was demonstrating a humorous or unconventional use of a hair straightening wand, possibly to highlight the absurdity or the impracticality of such a misuse.",0.6849
HZVvjdZt5PM,HZVvjdZt5PM,7,"The woman was demonstrating the use of a hair straightening wand, likely to show how it can be used on different parts of the face or for a specific styling technique.",0.6849
HZVvjdZt5PM,HZVvjdZt5PM,8,"The woman was likely demonstrating a hair styling technique that involves using a hair straightening wand to straighten or style her hair, specifically around the nose area.",0.6849
HZVvjdZt5PM,HZVvjdZt5PM,9,"The woman was humorously demonstrating a creative use of the hair straightening wand, perhaps suggesting a playful or absurd application rather than a practical one.",0.6849
HZVvjdZt5PM,HZVvjdZt5PM,10,"The woman was humorously demonstrating that the hair straightening wand could be used for various unconventional purposes, not just straightening hair.",0.6849
I0f5KN--RYw,I0f5KN--RYw,1,"The thin player, likely the referee, stops to observe the heavy player, who has abruptly stopped walking and turned around.",0.6508
I0f5KN--RYw,I0f5KN--RYw,2,"The thin player, who was covering the heavy player, is now left exposed and vulnerable as the heavy player suddenly stops and turns around.",0.6508
I0f5KN--RYw,I0f5KN--RYw,3,"The thin player covering the heavy player will likely lose their position, as the heavy player abruptly stops walking and turns around, disrupting the cover.",0.6508
I0f5KN--RYw,I0f5KN--RYw,4,"The thin player covering the heavy player is likely to lose their balance and fall over, as the heavy player's abrupt stop and turn disrupts the thin player's stability.",0.6508
I0f5KN--RYw,I0f5KN--RYw,5,"The thin player covering the heavy player is suddenly exposed and likely forced to react quickly, potentially leading to a change in the game's dynamics.",0.6508
I0f5KN--RYw,I0f5KN--RYw,6,"The thin player, likely a defensive player in a sports game, is forced to adjust their position as the heavy player, presumably an offensive player, suddenly stops walking and turns around, potentially to face the defensive player or to react to a new play development.",0.6508
I0f5KN--RYw,I0f5KN--RYw,7,"The thin player, who was covering the heavy player, is likely to be pushed or knocked off balance, possibly leading to a fall or losing their position.",0.6508
I0f5KN--RYw,I0f5KN--RYw,8,"The thin player is likely to be pushed or displaced as the heavy player abruptly stops walking and turns around, possibly causing a collision or shift in position.",0.6508
I0f5KN--RYw,I0f5KN--RYw,9,The thin player is likely to be pushed or knocked over by the heavy player's abrupt stop and turn.,0.6508
I0f5KN--RYw,I0f5KN--RYw,10,"The thin player covering the heavy player is likely to be pushed off balance and potentially fall, as the heavy player's abrupt stop and turn would disrupt the thin player's stability.",0.6508
I0hKaP5Y8LU,I0hKaP5Y8LU,1,The woman in the image appears to be preparing to take off from a trampoline to start her acrobatic performance.,0.7406
I0hKaP5Y8LU,I0hKaP5Y8LU,2,"The woman in the image appears to be performing an acrobatic move in mid-air, suggesting she has launched herself from a platform or a high point, possibly a trampoline or a gymnastics apparatus.",0.7406
I0hKaP5Y8LU,I0hKaP5Y8LU,3,The woman takes off from a trampoline to start her acrobatic performance.,0.7406
I0hKaP5Y8LU,I0hKaP5Y8LU,4,The woman takes off from a trampoline to start her acrobatic performance.,0.7406
I0hKaP5Y8LU,I0hKaP5Y8LU,5,The woman takes off from a trampoline to start her acrobatic performance.,0.7406
I0hKaP5Y8LU,I0hKaP5Y8LU,6,The woman takes off from the trampoline to start her acrobatic performance.,0.7406
I0hKaP5Y8LU,I0hKaP5Y8LU,7,The woman takes off from the trampoline to start her acrobatic performance.,0.7406
I0hKaP5Y8LU,I0hKaP5Y8LU,8,The woman takes off from a trampoline to start her acrobatic performance.,0.7406
I0hKaP5Y8LU,I0hKaP5Y8LU,9,"The woman in the image appears to be on a trampoline, which is her starting point for the acrobatic performance.",0.7406
I0hKaP5Y8LU,I0hKaP5Y8LU,10,The woman takes off from a trampoline to start her acrobatic performance.,0.7406
I1lgJSu89aU,I1lgJSu89aU,1,The view from the glass window appears to be of a building with a patterned facade.,0.5995
I1lgJSu89aU,I1lgJSu89aU,2,"The view from the glass window appears to be of a serene landscape, possibly with trees and a clear sky.",0.5995
I1lgJSu89aU,I1lgJSu89aU,3,"The view from the glass window appears to be of a plain white background, suggesting the window is facing a wall or an empty space.",0.5995
I1lgJSu89aU,I1lgJSu89aU,4,"The view from the glass window appears to be of a scenic outdoor area, possibly with trees and greenery, suggesting a peaceful natural setting.",0.5995
I1lgJSu89aU,I1lgJSu89aU,5,The view from the glass window shows a scenic landscape with trees and mountains in the background.,0.5995
I1lgJSu89aU,I1lgJSu89aU,6,The view from the glass window appears to be of a snowy landscape with a large tree in the foreground.,0.5995
I1lgJSu89aU,I1lgJSu89aU,7,The view from the glass window is not visible in the image provided.,0.5995
I1lgJSu89aU,I1lgJSu89aU,8,"The view from the glass window appears to be of a natural landscape, possibly a forest or mountains, with a clear sky above.",0.5995
I1lgJSu89aU,I1lgJSu89aU,9,The view from the glass window is not clearly visible in the image provided.,0.5995
I1lgJSu89aU,I1lgJSu89aU,10,"The view from the glass window shows a serene outdoor scene, likely featuring nature or a peaceful urban environment.",0.5995
I4JX5m-gJxM,I4JX5m-gJxM,1,"The first two displayed texts in the video are ""Hello"" and ""World"".",0.7747
I4JX5m-gJxM,I4JX5m-gJxM,2,"The first two displayed texts in the video are ""in"" and ""the"".",0.7747
I4JX5m-gJxM,I4JX5m-gJxM,3,"The first two displayed texts in the video are ""123"" and ""123"".",0.7747
I4JX5m-gJxM,I4JX5m-gJxM,4,"The first two displayed texts in the video are ""Simplify"" and ""Solve"".",0.7747
I4JX5m-gJxM,I4JX5m-gJxM,5,"The first two displayed texts in the video are ""SUN"" and ""MON"".",0.7747
I4JX5m-gJxM,I4JX5m-gJxM,6,"The first two displayed texts in the video are ""A"" and ""B"".",0.7747
I4JX5m-gJxM,I4JX5m-gJxM,7,"The first two displayed texts in the video are ""Hello"" and ""World"".",0.7747
I4JX5m-gJxM,I4JX5m-gJxM,8,"The first two displayed texts in the video are ""Hello"" and ""World"".",0.7747
I4JX5m-gJxM,I4JX5m-gJxM,9,"The first two displayed texts in the video are ""Hello, World!"" and ""This is a test.""",0.7747
I4JX5m-gJxM,I4JX5m-gJxM,10,"The first two displayed texts in the video are ""Back to the future"" and ""The future is bright"".",0.7747
I5ZKEsOXkGU,I5ZKEsOXkGU,1,The image provided does not contain enough context to determine if it is an example of love at first sight.,0.7287
I5ZKEsOXkGU,I5ZKEsOXkGU,2,"The image provided is too minimal to determine if it represents love at first sight, as it does not contain any context or visual cues that could suggest such a scenario.",0.7287
I5ZKEsOXkGU,I5ZKEsOXkGU,3,"The image provided does not contain any visual content that could be interpreted as an example of love at first sight, as it is a blank white space.",0.7287
I5ZKEsOXkGU,I5ZKEsOXkGU,4,"The image you've provided is a blank white card, and there's no context to determine if it's an example of love at first sight.",0.7287
I5ZKEsOXkGU,I5ZKEsOXkGU,5,The image provided is a simple line drawing and does not convey any information about love or first impressions.,0.7287
I5ZKEsOXkGU,I5ZKEsOXkGU,6,The image you've provided is a simple geometric shape and does not depict a scenario of love at first sight.,0.7287
I5ZKEsOXkGU,I5ZKEsOXkGU,7,The image provided is a simple graphic of a heart and does not depict a situation where love at first sight can be inferred.,0.7287
I5ZKEsOXkGU,I5ZKEsOXkGU,8,"The image provided is a simple question mark, which does not depict any scenario of love at first sight.",0.7287
I5ZKEsOXkGU,I5ZKEsOXkGU,9,The image provided does not contain any visual elements that can be interpreted as an example of love at first sight.,0.7287
I5ZKEsOXkGU,I5ZKEsOXkGU,10,The image alone does not provide enough context to determine if it is an example of love at first sight.,0.7287
I9QFj6lz15w,I9QFj6lz15w,1,"The Avocado seed is being punctured with toothpicks to allow air to circulate around the root,??????????? which helps the seedling to grow and develop roots more effectively.",0.6909
I9QFj6lz15w,I9QFj6lz15w,2,"The Avocado seed is being punctured with toothpicks to create small holes that allow air to circulate, which helps in maintaining proper humidity and prevents rotting while the seed germinates.",0.6909
I9QFj6lz15w,I9QFj6lz15w,3,"The Avocado seed is being punctured with toothpicks to create holes that allow air to circulate around the roots, which helps in the germination process and prevents the roots from rotting.",0.6909
I9QFj6lz15w,I9QFj6lz15w,4,The Avocado seed is being punctured with toothpicks to allow air to circulate around the roots and prevent the stem from rotting during the initial germination process.,0.6909
I9QFj6lz15w,I9QFj6lz15w,5,The Avocado seed is being punctured with toothpicks to create air holes for better aeration and to prevent the seed from splitting as it germinates and grows roots.,0.6909
