Q_ID,Video_ID,Rank,Answer,Time (sec),,
GC_ZIryUtoc,GC_ZIryUtoc,5,"The person's hand gets wet and is shown with soap residue, indicating the need for cleaning.",3.8586,,
GC_ZIryUtoc,GC_ZIryUtoc,6,The person in the green and black glove then applies a cleaning solution to his hand.,3.8586,,
GC_ZIryUtoc,GC_ZIryUtoc,7,"The person in the green and black glove applies a substance from a bottle onto the water, causing a reaction that makes the glove appear covered in foam.",3.8586,,
GC_ZIryUtoc,GC_ZIryUtoc,8,The person in the green and black glove washes the black glove under running water.,3.8586,,
GC_ZIryUtoc,GC_ZIryUtoc,9,"The person in the green and black glove appears to be washing their hand with soap, as shown by the soapy water on their hand.",3.8586,,
GC_ZIryUtoc,GC_ZIryUtoc,10,"The person in the green and black glove rinses his hand in the water, ensuring all dirt and germs are washed away.",3.8586,,
GD9prt9PD8Q,GD9prt9PD8Q,1,The character in the bathtub refuses to give the other character the five dollars because he is not allowed to spend the money.,3.7886,,
GD9prt9PD8Q,GD9prt9PD8Q,2,"The character is told that the money is not for spending and is instead used to burn, which causes the character to scream.",3.7886,,
GD9prt9PD8Q,GD9prt9PD8Q,3,"The character in the bathtub, who is in debt, asks for his five dollars, but the other character, who is supposed to be paying, says he is short on cash and that the money is not for spending.",3.7886,,
GD9prt9PD8Q,GD9prt9PD8Q,4,"The cartoon character who asks for five dollars finds out that the money is not for spending, leading to a humorous misunderstanding.",3.7886,,
GD9prt9PD8Q,GD9prt9PD8Q,5,"The character who asked for his five dollars is found in a bathtub full of money, but he is unable to use it because it is not for spending.",3.7886,,
GD9prt9PD8Q,GD9prt9PD8Q,6,"When one of the characters asks for his five dollars, the other character gets angry and shoves him into a bathtub filled with money, which catches fire.",3.7886,,
GD9prt9PD8Q,GD9prt9PD8Q,7,"The character who asked for his five dollars ended up in a bathtub full of money, explaining that he was strapped for cash and that the money wasn't for spending.",3.7886,,
GD9prt9PD8Q,GD9prt9PD8Q,8,"When one of the characters asks for his five dollars, the other character, who is in the bathtub, responds that he is strapped for cash and that the money is not for spending.",3.7886,,
GD9prt9PD8Q,GD9prt9PD8Q,9,"When one of the characters asks for his five dollars, the other character becomes upset and starts throwing money around, eventually leading to a fire starting from the money.",3.7886,,
GD9prt9PD8Q,GD9prt9PD8Q,10,The character was told that the money wasn't for spending and that they were out of cash.,3.7886,,
GDXiE0xXhSw,GDXiE0xXhSw,1,"This is a collage of images featuring a young man in various settings, including casual scenes and performances on stage, with text overlays in Chinese that appear to be captions or lyrics.",4.2284,,
GDXiE0xXhSw,GDXiE0xXhSw,2,"This is a compilation of video clips featuring a young individual, showcasing different moments, including casual settings, performances on stage, and a live concert.",4.2284,,
GDXiE0xXhSw,GDXiE0xXhSw,3,"This is a compilation of various scenes featuring a person in different settings, including casual moments, performance, and on stage, with text overlays in Chinese.",4.2284,,
GDXiE0xXhSw,GDXiE0xXhSw,4,"This is a montage of various scenes featuring a person in different settings, including casual moments, stage performances, and singing, with Chinese text overlaying some of the images.",4.2284,,
GDXiE0xXhSw,GDXiE0xXhSw,5,"This is a collection of images showcasing a young individual in various settings, including casual interactions, snowy scenes, and performances on stage.",4.2284,,
GDXiE0xXhSw,GDXiE0xXhSw,6,"This is a compilation of scenes featuring a young individual in various settings, including a casual moment, a snowy outdoor scene, and a stage performance, with text overlays that appear to be from a fan-made tribute or a promotional video.",4.2284,,
GDXiE0xXhSw,GDXiE0xXhSw,7,"This is a series of images featuring a young person in various settings, including a casual indoor scene, a snowy outdoor scene, and a stage performance. The images appear to be part of a promotional or celebratory video, possibly related to a music performance or event.",4.2284,,
GDXiE0xXhSw,GDXiE0xXhSw,8,"This is a series of images featuring a person, likely a performer, in various settings including casual, snowy, and on stage with different outfits and microphones, accompanied by Chinese text that seems to be lyrics or captions.",4.2284,,
GDXiE0xXhSw,GDXiE0xXhSw,9,"This is a collection of images featuring a young man, showcasing different moments and settings, including casual and performance-related contexts.",4.2284,,
GDXiE0xXhSw,GDXiE0xXhSw,10,"This is a compilation of various moments featuring a young individual, including casual interactions, a snowy performance, and live concert scenes, with Chinese text overlaying some frames.",4.2284,,
GeToJ_bYWkQ,GeToJ_bYWkQ,1,Two.,3.9764,,
GeToJ_bYWkQ,GeToJ_bYWkQ,2,Two,3.9764,,
GeToJ_bYWkQ,GeToJ_bYWkQ,3,Two back flips are seen in the video.,3.9764,,
GeToJ_bYWkQ,GeToJ_bYWkQ,4,We see three back flips in the video.,3.9764,,
GeToJ_bYWkQ,GeToJ_bYWkQ,5,Two,3.9764,,
GeToJ_bYWkQ,GeToJ_bYWkQ,6,We see two back flips in the video.,3.9764,,
GeToJ_bYWkQ,GeToJ_bYWkQ,7,"In the video, we see two back flips performed by the children.",3.9764,,
GeToJ_bYWkQ,GeToJ_bYWkQ,8,There are two back flips shown in the video.,3.9764,,
GeToJ_bYWkQ,GeToJ_bYWkQ,9,We see two back flips in the video.,3.9764,,
GeToJ_bYWkQ,GeToJ_bYWkQ,10,We see three back flips in the video.,3.9764,,
GF5kmTYwedw,GF5kmTYwedw,1,The drums used to record this track are not specified in the image.,3.7952,,
GF5kmTYwedw,GF5kmTYwedw,2,The drums used to record this track are electronic drums.,3.7952,,
GF5kmTYwedw,GF5kmTYwedw,3,The video does not provide information about the type of drums used to record the track.,3.7952,,
GF5kmTYwedw,GF5kmTYwedw,4,The video does not provide information about the type of drums used to record the track.,3.7952,,
GF5kmTYwedw,GF5kmTYwedw,5,The drums used to record this track are electronic drums.,3.7952,,
GF5kmTYwedw,GF5kmTYwedw,6,The video does not provide information about the type of drums used to record the track.,3.7952,,
GF5kmTYwedw,GF5kmTYwedw,7,The video does not provide information about the type of drums used to record the track.,3.7952,,
GF5kmTYwedw,GF5kmTYwedw,8,The video does not provide information about the type of drums used to record the track.,3.7952,,
GF5kmTYwedw,GF5kmTYwedw,9,The video does not provide information about the type of drums used to record the track.,3.7952,,
GF5kmTYwedw,GF5kmTYwedw,10,"The drums used in the recording of this track are electronic drums, which provide a crisp and precise sound that can be easily mixed with other elements of the music.",3.7952,,
GH7kcBkraNg,GH7kcBkraNg,1,Four scans are shown in the video.,3.5569,,
GH7kcBkraNg,GH7kcBkraNg,2,"Four different types of devices are shown in the image: smartphone, mini smartphone, flip phone, and tablet.",3.5569,,
GH7kcBkraNg,GH7kcBkraNg,3,"Four scans are shown: Smartphone, Mini smartphone, Flip phone, and Tablet.",3.5569,,
GH7kcBkraNg,GH7kcBkraNg,4,"There are four scans shown in the video: smartphone, mini smartphone, flip phone, and notebook.",3.5569,,
GH7kcBkraNg,GH7kcBkraNg,5,"Four different types of devices are shown in the video: smartphone, mini smartphone, flip phone, and tablet.",3.5569,,
GH7kcBkraNg,GH7kcBkraNg,6,There are four scans shown in the video.,3.5569,,
GH7kcBkraNg,GH7kcBkraNg,7,4,3.5569,,
GH7kcBkraNg,GH7kcBkraNg,8,Four scans are shown.,3.5569,,
GH7kcBkraNg,GH7kcBkraNg,9,"There are four scans shown in the image: Smartphone, Mini smartphone, Flip phone, and Tablet.",3.5569,,
GH7kcBkraNg,GH7kcBkraNg,10,"Four scans are shown: Smartphone, Mini smartphone, Flip phone, and Tablet.",3.5569,,
GIdtda2RH_g,GIdtda2RH_g,1,"The highway has multiple levels, as indicated by the winding design and the presence of multiple roadways stacked on top of each other.",3.9052,,
GIdtda2RH_g,GIdtda2RH_g,2,"The highway has multiple levels, creating a spiral structure.",3.9052,,
GIdtda2RH_g,GIdtda2RH_g,3,"The highway has multiple levels, as shown in the aerial view.",3.9052,,
GIdtda2RH_g,GIdtda2RH_g,4,"The highway appears to have multiple levels, but the exact number is not specified in the description.",3.9052,,
GIdtda2RH_g,GIdtda2RH_g,5,"The highway in the picture is multi-leveled, with at least three distinct levels visible in the aerial view.",3.9052,,
GIdtda2RH_g,GIdtda2RH_g,6,"The highway in the picture appears to have multiple levels, but the exact number is not specified. It seems to be a multi-level structure, possibly a spiral road, but the full count of levels is not clear from the image provided.",3.9052,,
GIdtda2RH_g,GIdtda2RH_g,7,"The highway in the image has multiple levels, as it appears to be a multi-level structure built on a hillside, but the exact number of levels is not specified.",3.9052,,
GIdtda2RH_g,GIdtda2RH_g,8,The highway in the image has four levels.,3.9052,,
GIdtda2RH_g,GIdtda2RH_g,9,The highway in the image has four levels.,3.9052,,
GIdtda2RH_g,GIdtda2RH_g,10,"The highway in the image appears to have multiple levels, as it is a multi-tiered structure with multiple roadways stacked on top of each other, but the exact number of levels is not clearly defined in the image.",3.9052,,
GjGFHotsrc0,GjGFHotsrc0,1,Lil Wayne,3.6258,,
GjGFHotsrc0,GjGFHotsrc0,2,The interviewee recommends Lil Wayne for the fifth Mt. Rushmore image.,3.6258,,
GjGFHotsrc0,GjGFHotsrc0,3,The interviewee recommends Lil Wayne for the fifth image.,3.6258,,
GjGFHotsrc0,GjGFHotsrc0,4,The interviewee recommends Lil Wayne for the fifth image.,3.6258,,
GjGFHotsrc0,GjGFHotsrc0,5,The interviewee recommends Lil Wayne for the fifth Mt. Rushmore image.,3.6258,,
GjGFHotsrc0,GjGFHotsrc0,6,The interviewee recommends Lil Wayne for the fifth image on the Mount Rushmore of rap.,3.6258,,
GjGFHotsrc0,GjGFHotsrc0,7,The interviewee recommends Lil Wayne for the fifth Mt. Rushmore image.,3.6258,,
GjGFHotsrc0,GjGFHotsrc0,8,The interviewee recommends Lil Wayne for the fifth Mt. Rushmore image.,3.6258,,
GjGFHotsrc0,GjGFHotsrc0,9,The interviewee recommends Lil Wayne for the fifth image on the Mount Rushmore of rap.,3.6258,,
GjGFHotsrc0,GjGFHotsrc0,10,The interviewee recommends Lil Wayne for the fifth image on the Mount Rushmore of Rap.,3.6258,,
GjidAAzBQ0s,GjidAAzBQ0s,1,There are three spools of twine in the drawer.,3.928,,
GjidAAzBQ0s,GjidAAzBQ0s,2,There are two spools of twine in the drawer.,3.928,,
GjidAAzBQ0s,GjidAAzBQ0s,3,There are two spools of twine in the drawer.,3.928,,
GjidAAzBQ0s,GjidAAzBQ0s,4,There are two spools of twine in the drawer.,3.928,,
GjidAAzBQ0s,GjidAAzBQ0s,5,There are two spools of twine in the drawer.,3.928,,
GjidAAzBQ0s,GjidAAzBQ0s,6,There are three spools of twine in the drawer.,3.928,,
GjidAAzBQ0s,GjidAAzBQ0s,7,There are two spools of twine in the drawer.,3.928,,
GjidAAzBQ0s,GjidAAzBQ0s,8,There are two spools of twine in the drawer.,3.928,,
GjidAAzBQ0s,GjidAAzBQ0s,9,There are two spools of twine in the drawer.,3.928,,
GjidAAzBQ0s,GjidAAzBQ0s,10,There are two spools of twine in the drawer.,3.928,,
GJq44zrdS5A,GJq44zrdS5A,1,"This video appears to be a humorous or satirical take on a game or situation, as indicated by the text ""POOR AMBUSH"" and the glitchy, distorted mask on the floor, which might represent a failed or unsuccessful attempt at an ambush in a video game.",3.9513,,
GJq44zrdS5A,GJq44zrdS5A,2,"This is a humorous video featuring a character with a glitched face, likely from a video game, with the text ""POOR AMBUSH"" suggesting a playful or lighthearted tone.",3.9513,,
GJq44zrdS5A,GJq44zrdS5A,3,"This video is a humorous or lighthearted one, likely a comedic or satirical take on an ambush or surprise situation, indicated by the text ""POOR AMBUSH"" and the playful, distorted imagery.",3.9513,,
GJq44zrdS5A,GJq44zrdS5A,4,"This video appears to be a humorous or satirical clip, possibly referencing the ""Scream"" movie franchise, as indicated by the ghost face mask and the text ""POOR AMBUSH.""",3.9513,,
GJq44zrdS5A,GJq44zrdS5A,5,"This is a humorous video featuring a poorly executed ""ambush"" setup, likely from a video game, where a ghostly figure appears suddenly.",3.9513,,
GJq44zrdS5A,GJq44zrdS5A,6,"This video appears to be a humorous or satirical take on a video game, featuring a glitched face with the text ""POOR AMBUSH"" at the top.",3.9513,,
GJq44zrdS5A,GJq44zrdS5A,7,"This video appears to be a humorous or satirical take on the concept of a ""poor ambush"" in a video game or digital environment, featuring a glitched or distorted character with a screaming face.",3.9513,,
GJq44zrdS5A,GJq44zrdS5A,8,"This video appears to be a humorous or satirical take on an ""ambush"" scenario, likely from a video game or a digital creation, indicated by the text ""POOR AMBUSH"" and the stylized, glitchy appearance of the character.",3.9513,,
GJq44zrdS5A,GJq44zrdS5A,9,"This video appears to be a humorous or satirical clip, likely referencing or parodizing the ""Scream"" movie franchise, as indicated by the ghost face mask and the text ""POOR AMBUSH.""",3.9513,,
GJq44zrdS5A,GJq44zrdS5A,10,"This is a humorous or light-hearted video, likely a parody or joke, as indicated by the text ""POOR AMBUSH"" and the distorted, glitchy face mask.",3.9513,,
Gn1hEZcLt5Q,Gn1hEZcLt5Q,1,He uses a pair of pliers to break the pencils.,3.4618,,
Gn1hEZcLt5Q,Gn1hEZcLt5Q,2,He breaks the pencils by using a yellow tool to apply pressure.,3.4618,,
Gn1hEZcLt5Q,Gn1hEZcLt5Q,3,He breaks the pencils by pulling them apart with his hands.,3.4618,,
Gn1hEZcLt5Q,Gn1hEZcLt5Q,4,He breaks the pencils by squeezing them with his hands.,3.4618,,
Gn1hEZcLt5Q,Gn1hEZcLt5Q,5,He breaks the pencils by bending them with his hands.,3.4618,,
Gn1hEZcLt5Q,Gn1hEZcLt5Q,6,He manages to break the pencils by using a rubber band to snap them in half.,3.4618,,
Gn1hEZcLt5Q,Gn1hEZcLt5Q,7,He breaks the pencils by pulling them apart with his hands.,3.4618,,
Gn1hEZcLt5Q,Gn1hEZcLt5Q,8,He uses a pair of scissors to cut the pencils in half.,3.4618,,
Gn1hEZcLt5Q,Gn1hEZcLt5Q,9,He uses a yellow tool to break the pencils.,3.4618,,
Gn1hEZcLt5Q,Gn1hEZcLt5Q,10,He manages to break the pencils by pulling them apart with a forceful motion.,3.4618,,
GnOVP1b106U,GnOVP1b106U,1,A bird starts chirping when it feels happy or excited.,3.6935,,
GnOVP1b106U,GnOVP1b106U,2,"The bird starts chirping and other birds begin to join in, creating a lively and harmonious sound.",3.6935,,
GnOVP1b106U,GnOVP1b106U,3,The birds in the cage start to chirp in response to the chirping of the bird outside the cage.,3.6935,,
GnOVP1b106U,GnOVP1b106U,4,The parrots start chirping and moving around.,3.6935,,
GnOVP1b106U,GnOVP1b106U,5,The parrot starts to chirp and then flies out of the pot.,3.6935,,
GnOVP1b106U,GnOVP1b106U,6,A bird starts chirping to communicate with other birds or to express happiness or excitement.,3.6935,,
GnOVP1b106U,GnOVP1b106U,7,"The bird starts chirping, which is a natural vocalization used for communication, courtship, or warning.",3.6935,,
GnOVP1b106U,GnOVP1b106U,8,The bird begins to chirp.,3.6935,,
GnOVP1b106U,GnOVP1b106U,9,A bird starts chirping when it is excited or happy.,3.6935,,
GnOVP1b106U,GnOVP1b106U,10,"A bird starts chirping when it is feeling happy or excited, often as a form of communication or to attract a mate.",3.6935,,
GO99jgYXXPo,GO99jgYXXPo,1,There are 3 eggs in the serving.,3.559,,
GO99jgYXXPo,GO99jgYXXPo,2,There are 5 eggs in the serving.,3.559,,
GO99jgYXXPo,GO99jgYXXPo,3,There are 5 eggs in the serving.,3.559,,
GO99jgYXXPo,GO99jgYXXPo,4,There are three eggs in the serving.,3.559,,
GO99jgYXXPo,GO99jgYXXPo,5,"The video shows a serving with a few eggs, but the exact number is not clearly visible.",3.559,,
GO99jgYXXPo,GO99jgYXXPo,6,There are three eggs in the serving.,3.559,,
GO99jgYXXPo,GO99jgYXXPo,7,There are three eggs in the serving.,3.559,,
GO99jgYXXPo,GO99jgYXXPo,8,There are four eggs in the serving.,3.559,,
GO99jgYXXPo,GO99jgYXXPo,9,There are 3 eggs in the serving.,3.559,,
GO99jgYXXPo,GO99jgYXXPo,10,The video shows a serving with 5 eggs.,3.559,,
Gp4LVTn3YbY,Gp4LVTn3YbY,1,"The woman exclaims ""SOO SOUR!!"" while holding her mouth, indicating the extreme sourness of the wafer.",3.8828,,
Gp4LVTn3YbY,Gp4LVTn3YbY,2,"After the woman puts the wafer in her mouth, she experiences an extremely sour reaction.",3.8828,,
Gp4LVTn3YbY,Gp4LVTn3YbY,3,"The woman reacts to the sour taste, exclaiming ""SOO SOUR!!""",3.8828,,
Gp4LVTn3YbY,Gp4LVTn3YbY,4,"After the woman puts the wafer in her mouth, she reacts with a facepalm emoji, indicating that the wafer is extremely sour.",3.8828,,
Gp4LVTn3YbY,Gp4LVTn3YbY,5,"After the woman puts the wafer in her mouth, she reacts with ""OMG so crunchy!"" and ""SOO SOUR!!"" while showing expressions of surprise and discomfort.",3.8828,,
Gp4LVTn3YbY,Gp4LVTn3YbY,6,"The woman reacts to the sour taste, exclaiming ""SOO SOUR!!"" with various emojis.",3.8828,,
Gp4LVTn3YbY,Gp4LVTn3YbY,7,"After the woman puts the wafer in her mouth, she experiences an extremely sour taste.",3.8828,,
Gp4LVTn3YbY,Gp4LVTn3YbY,8,"After the woman puts the wafer in her mouth, she experiences a strong sour taste and reacts with expressions of discomfort and surprise.",3.8828,,
Gp4LVTn3YbY,Gp4LVTn3YbY,9,"After the woman puts the wafer in her mouth, she reacts with a ""SOO SOUR!!"" expression and multiple emojis indicating extreme sourness.",3.8828,,
Gp4LVTn3YbY,Gp4LVTn3YbY,10,"After the woman puts the wafer in her mouth, she reacts with a surprised expression and the text ""SOO SOUR!!"" appears on the screen.",3.8828,,
Gq-fFH6p7cQ,Gq-fFH6p7cQ,1,3,3.3797,,
Gq-fFH6p7cQ,Gq-fFH6p7cQ,2,1,3.3797,,
Gq-fFH6p7cQ,Gq-fFH6p7cQ,3,2,3.3797,,
Gq-fFH6p7cQ,Gq-fFH6p7cQ,4,2,3.3797,,
Gq-fFH6p7cQ,Gq-fFH6p7cQ,5,3,3.3797,,
Gq-fFH6p7cQ,Gq-fFH6p7cQ,6,3,3.3797,,
Gq-fFH6p7cQ,Gq-fFH6p7cQ,7,3,3.3797,,
Gq-fFH6p7cQ,Gq-fFH6p7cQ,8,1,3.3797,,
Gq-fFH6p7cQ,Gq-fFH6p7cQ,9,2,3.3797,,
Gq-fFH6p7cQ,Gq-fFH6p7cQ,10,2,3.3797,,
GqcZ_L3yWes,GqcZ_L3yWes,1,"The boy is petting the dog wearing a wig, which is humorously being compared to middle schoolers roasting each other.",3.8267,,
GqcZ_L3yWes,GqcZ_L3yWes,2,The boy is petting the dog wearing a wig while sitting in front of him.,3.8267,,
GqcZ_L3yWes,GqcZ_L3yWes,3,The boy is petting the dog with a wig on sitting in front of him.,3.8267,,
GqcZ_L3yWes,GqcZ_L3yWes,4,The boy is petting the dog wearing a wig.,3.8267,,
GqcZ_L3yWes,GqcZ_L3yWes,5,"The boy is playfully interacting with the dog wearing a wig, possibly tickling or petting it.",3.8267,,
GqcZ_L3yWes,GqcZ_L3yWes,6,The boy is petting the dog with a wig on sitting in front of him.,3.8267,,
GqcZ_L3yWes,GqcZ_L3yWes,7,"The boy is petting the dog with a wig on, which is wearing a black outfit, in a humorous and playful interaction.",3.8267,,
GqcZ_L3yWes,GqcZ_L3yWes,8,The boy is petting the dog with a wig on sitting in front of him.,3.8267,,
GqcZ_L3yWes,GqcZ_L3yWes,9,"The boy is petting the dog with a wig on, sitting in front of him.",3.8267,,
GqcZ_L3yWes,GqcZ_L3yWes,10,"The boy is petting the dog with a wig on, which appears to be part of a playful interaction, possibly as part of a humorous or roasting scenario.",3.8267,,
GRfibNOTJnw,GRfibNOTJnw,1,Two.,3.4925,,
GRfibNOTJnw,GRfibNOTJnw,2,There are two red lollipops in the image.,3.4925,,
GRfibNOTJnw,GRfibNOTJnw,3,There are no red lollipops visible in the image.,3.4925,,
GRfibNOTJnw,GRfibNOTJnw,4,There are two red lollipops in the image.,3.4925,,
GRfibNOTJnw,GRfibNOTJnw,5,There are no red lollipops in the image.,3.4925,,
GRfibNOTJnw,GRfibNOTJnw,6,There is one red lollypop in the video.,3.4925,,
GRfibNOTJnw,GRfibNOTJnw,7,"In the video, there is one red lollipop visible.",3.4925,,
GRfibNOTJnw,GRfibNOTJnw,8,We see one red lollypop in the image.,3.4925,,
GRfibNOTJnw,GRfibNOTJnw,9,There are two red lollipops in the video.,3.4925,,
GRfibNOTJnw,GRfibNOTJnw,10,There is one red lollypop visible in the image.,3.4925,,
Gs4ZVLz6-CE,Gs4ZVLz6-CE,1,The animals in the picture are cats.,3.6422,,
Gs4ZVLz6-CE,Gs4ZVLz6-CE,2,The animals in the picture are cats.,3.6422,,
Gs4ZVLz6-CE,Gs4ZVLz6-CE,3,The animals in the picture are cats.,3.6422,,
Gs4ZVLz6-CE,Gs4ZVLz6-CE,4,The animals in the picture are cats.,3.6422,,
Gs4ZVLz6-CE,Gs4ZVLz6-CE,5,The animals in the picture are cats.,3.6422,,
Gs4ZVLz6-CE,Gs4ZVLz6-CE,6,The animals in the picture are cats.,3.6422,,
Gs4ZVLz6-CE,Gs4ZVLz6-CE,7,The animals in the picture are cats.,3.6422,,
Gs4ZVLz6-CE,Gs4ZVLz6-CE,8,The animals in the pictures are cats.,3.6422,,
Gs4ZVLz6-CE,Gs4ZVLz6-CE,9,The animals in the picture are cats.,3.6422,,
Gs4ZVLz6-CE,Gs4ZVLz6-CE,10,The animals in the picture are cats.,3.6422,,
GSo0ep3dlh4,GSo0ep3dlh4,1,"The woman takes the button-down shirt off her shoulders, ties it around her waist, and then buttons it up to create a new look.",4.2629,,
GSo0ep3dlh4,GSo0ep3dlh4,2,The woman wears the button-down shirt as a halter top by tying it around her neck and shoulders.,4.2629,,
GSo0ep3dlh4,GSo0ep3dlh4,3,The woman ties the button-down shirt around her waist to create a halter-style top.,4.2629,,
GSo0ep3dlh4,GSo0ep3dlh4,4,"The woman removes the sleeves, wraps the shirt around her neck and waist, and tucks it into her pants to create a halter top effect.",4.2629,,
GSo0ep3dlh4,GSo0ep3dlh4,5,The woman transforms the button-down shirt into a stylish halter-style top by tying it around her neck and adjusting it.,4.2629,,
GSo0ep3dlh4,GSo0ep3dlh4,6,The woman transforms the button-down shirt into a halter top by tying the sleeves into a knot at the back of her neck and tucking the shirt into her pants.,4.2629,,
GSo0ep3dlh4,GSo0ep3dlh4,7,The woman wears the button-down shirt as a halter top.,4.2629,,
GSo0ep3dlh4,GSo0ep3dlh4,8,"The woman takes off the button-down shirt, wraps it around her neck, and ties it in a knot to create a stylish halter top.",4.2629,,
GSo0ep3dlh4,GSo0ep3dlh4,9,The woman transforms the button-down shirt into a stylish sleeveless top by tying it around her waist.,4.2629,,
GSo0ep3dlh4,GSo0ep3dlh4,10,The woman transforms the button-down shirt into a halter-style top by tying it around her neck and adjusting it.,4.2629,,
GtTPXrtzEFc,GtTPXrtzEFc,1,"The cat is pawing the doors to control its movements, which it uses to decide whether to go into a room or not.",4.2341,,
GtTPXrtzEFc,GtTPXrtzEFc,2,"The cat is pawing the doors because it is trying to communicate its desire to enter the room, but it cannot see or hear what is happening inside and is therefore confused.",4.2341,,
GtTPXrtzEFc,GtTPXrtzEFc,3,"The cat is pawing the doors because it wants to go inside, but it is unable to see what is happening in the room and is not sure if it can get in.",4.2341,,
GtTPXrtzEFc,GtTPXrtzEFc,4,"The cat is pawing the doors because it is trying to control the situation and ensure that the door is indeed locked, so it can safely enter the room.",4.2341,,
GtTPXrtzEFc,GtTPXrtzEFc,5,The cat is pawing the doors because it wants to get inside and is trying to signal that it wants to go into the room.,4.2341,,
GtTPXrtzEFc,GtTPXrtzEFc,6,The cat is pawing the doors to check if they are closed and to ensure that the way is clear for entry.,4.2341,,
GtTPXrtzEFc,GtTPXrtzEFc,7,The cat is pawing the doors because it wants to enter the room but is not sure if it can.,4.2341,,
GtTPXrtzEFc,GtTPXrtzEFc,8,"The cat is pawing the doors to express its intention to enter the room, as it cannot see what is happening inside and cannot hear if the door is locked.",4.2341,,
GtTPXrtzEFc,GtTPXrtzEFc,9,"The cat is pawing the doors to express its desire to enter the room, as it is unsure whether the door is locked or not.",4.2341,,
GtTPXrtzEFc,GtTPXrtzEFc,10,The cat is pawing the doors because it wants to enter the room and is unsure if the door is locked.,4.2341,,
GuSGaDJsgsE,GuSGaDJsgsE,1,The video starts with a sound that resembles the roar of a fire.,4.1999,,
GuSGaDJsgsE,GuSGaDJsgsE,2,"The sound heard at the beginning of the video is a warning beep, indicating ""Belt on, please.""",4.1999,,
GuSGaDJsgsE,GuSGaDJsgsE,3,"The video starts with a sound of a car engine, suggesting a crash or accident.",4.1999,,
GuSGaDJsgsE,GuSGaDJsgsE,4,"The sound heard at the beginning of the video is a warning message in Korean, ""??? ??? ?????"", which translates to ""Drive carefully on wet roads~"".",4.1999,,
GuSGaDJsgsE,GuSGaDJsgsE,5,"The sound heard at the beginning of the video is a warning message saying ""Be careful driving on the road~"" in Korean.",4.1999,,
GuSGaDJsgsE,GuSGaDJsgsE,6,The sound heard at the beginning of the video is a loud explosion.,4.1999,,
GuSGaDJsgsE,GuSGaDJsgsE,7,"The sound heard at the beginning of the video is a warning message in Korean saying ""Be careful when driving on a steep slope.""",4.1999,,
GuSGaDJsgsE,GuSGaDJsgsE,8,The sound heard at the beginning of the video is a loud explosion or fire.,4.1999,,
GuSGaDJsgsE,GuSGaDJsgsE,9,"The sound heard at the beginning of the video is the text ""??? ??? ?????"" which translates to ""Drive carefully on the rainy road~"" in English.",4.1999,,
GuSGaDJsgsE,GuSGaDJsgsE,10,"The sound heard at the beginning of the video is a warning message in Korean that says ""Be careful driving on the road.""",4.1999,,
GuxpJ5XyL5Q,GuxpJ5XyL5Q,1,"The teacher is standing in a classroom with desks and chairs, observing a student who is organizing the classroom.",3.8426,,
GuxpJ5XyL5Q,GuxpJ5XyL5Q,2,The teacher is cleaning the desks in the classroom.,3.8426,,
GuxpJ5XyL5Q,GuxpJ5XyL5Q,3,The teacher is observing a student who is organizing the desks in the classroom.,3.8426,,
GuxpJ5XyL5Q,GuxpJ5XyL5Q,4,The teacher is arranging all the desks in the classroom.,3.8426,,
GuxpJ5XyL5Q,GuxpJ5XyL5Q,5,The teacher is cleaning the desks in the classroom.,3.8426,,
GuxpJ5XyL5Q,GuxpJ5XyL5Q,6,The teacher is observing the classroom and expressing her appreciation for a student who cleaned the desks before leaving.,3.8426,,
GuxpJ5XyL5Q,GuxpJ5XyL5Q,7,The teacher is walking around the classroom and observing the students.,3.8426,,
GuxpJ5XyL5Q,GuxpJ5XyL5Q,8,"The teacher is observing a student, who is cleaning up the desks, to ensure they are left in a tidy condition before leaving the classroom.",3.8426,,
GuxpJ5XyL5Q,GuxpJ5XyL5Q,9,The teacher is watching a student organize the classroom desks.,3.8426,,
GuxpJ5XyL5Q,GuxpJ5XyL5Q,10,"The teacher is observing the students, who are cleaning the classroom after school hours.",3.8426,,
GWCGF1WpMPc,GWCGF1WpMPc,1,The old woman hands the child a toy.,3.681,,
GWCGF1WpMPc,GWCGF1WpMPc,2,The old woman takes the ball from the kid and puts it in a box.,3.681,,
GWCGF1WpMPc,GWCGF1WpMPc,3,The old woman laughs as the child plays with the contents of the broken ball.,3.681,,
GWCGF1WpMPc,GWCGF1WpMPc,4,The old woman hands the kid a new ball.,3.681,,
GWCGF1WpMPc,GWCGF1WpMPc,5,The old woman claps and cheers for the kid.,3.681,,
GWCGF1WpMPc,GWCGF1WpMPc,6,The old woman hands the kid a new ball.,3.681,,
GWCGF1WpMPc,GWCGF1WpMPc,7,The old woman stands up after the kid breaks the ball.,3.681,,
GWCGF1WpMPc,GWCGF1WpMPc,8,The old woman hands the kid a cup.,3.681,,
GWCGF1WpMPc,GWCGF1WpMPc,9,The old woman helps the child with a toy.,3.681,,
GWCGF1WpMPc,GWCGF1WpMPc,10,The old woman holds the ball and talks to the kid while he continues to play with it.,3.681,,
Gw_73ZoYFr8,Gw_73ZoYFr8,1,There is one book in the video.,3.651,,
Gw_73ZoYFr8,Gw_73ZoYFr8,2,There are no books in the video.,3.651,,
